cs_tt,cs_ft,cs_tl,cs_fl,d_tt,d_ft,d_tl,d_fl,wd_tt,wd_ft,wd_tl,wd_fl,w_tt,w_ft,w_tl,w_fl,ns_tt,ns_ft,ns_tl,ns_fl
15.3264,-0.6,-31.0848,256.6,6.7944,-31.6,-111,725.5,14.928,-20,-16.8912,10.9,10.7304,-28.3,-469.7436,5468.1,67.7544,298.1,0.7932,15.8
15.7104,-3.6,-27.1272,232.9,7.1136,-47.1,-104.9616,688.4,15.0912,-24.4,-16.8576,7.6,10.644,-29.1,-469.0152,5437.6,68.16,309.5,0.0552,18
16.2936,-5.2,-24.7524,199.7,7.0404,-47,-99.09,648,15.1908,-25,-16.4832,12.6,10.668,-22.2,-468.462,5412.6,69.0444,302.6,0.3672,33.1
16.4736,-11.5,-21.3684,153.8,6.9264,-37.6,-93.468,616.6,15.2532,-24.7,-16.2144,5.3,11.28,-25.1,-468.75,5382.9,69.4476,309.1,0.3564,31.3
16.2612,-23.1,-17.3088,127.9,7.224,-29.8,-89.7276,584.5,15.6192,-24,-16.5336,2,11.1984,-16.5,-469.086,5360.3,70.0584,314.9,0.3012,34.6
15.8952,-20.1,-15.5316,110.9,6.5652,-37.6,-85.1808,562.2,15.6576,-26,-16.3788,13,10.9968,-18.5,-469.0296,5321.8,70.4592,316.3,0.306,32.2
15.9996,-12,-13.6596,88.9,6.564,-37.3,-81.8532,526.2,15.2784,-10.2,-16.2648,-3.3,11.0268,-23.4,-468.3924,5288.1,71.4432,326.9,0.06,25.1
16.1688,-21.5,-12.786,87.8,6.798,-38.1,-78.5664,504.6,15.708,-18.9,-15.8628,0.5,10.9356,-20.8,-467.1432,5268.6,72.0072,332.1,0.4812,34.3
16.0704,-24.2,-11.424,79.3,6.9528,-47.9,-74.6736,482.6,15.8508,-19.3,-16.2132,2.9,11.358,-11.5,-465.0816,5224.1,72.3048,332.1,0.8244,32.5
16.3812,-23,-10.1664,55.5,6.732,-36,-71.9196,448.4,15.402,-18.7,-16.4268,-3,11.0964,-19.7,-462.1236,5197.4,72.6816,335.1,0.4332,32.5
16.5504,-12.7,-9.5364,45.1,6.9084,-33.1,-69.0192,423.1,15.9036,-12.2,0,0,11.022,-18.9,-459.0588,5159.2,73.3488,330.8,0.2148,25.2
16.386,-17.3,-8.3844,41.9,7.1964,-51.9,-65.826,401.7,15.894,-10.9,-829.0836,5727.9,11.6376,-12.9,-455.2152,5129.4,74.4492,338.1,0.5688,31.2
16.4832,-10.6,-7.578,31.6,6.8676,-40.7,-62.8788,385.6,16.4208,-14.3,-828.3432,5710.2,11.5416,-18.8,-451.044,5088.8,75.1956,340.8,0.6096,28.5
16.8888,-12.9,-6.654,17.3,6.8796,-46.6,-61.302,370.1,16.8552,-13.2,-826.2936,5685.7,11.8512,-21.8,-447.5796,5070,75.9828,340.8,0.6492,31.4
16.9896,-22.2,-5.706,14.5,7.2204,-55.9,-60.3696,352.8,16.644,-10.6,-822.0264,5657.9,12.03,-14.1,-443.6244,5037.7,76.4208,358.8,0.36,29.9
