,Dc,Dt,NSpc,NSt,Sc,St,Wc,Wt
5719,,,0.307,7.464972478,,,,
5720,,,0.3055,7.455180736,,,,
5721,,,0.3133,7.4432992339999995,,,,
5722,,,0.3188,7.410527647,,,,
5723,,,0.3278,7.386125149,,,,
5724,,,0.3204,7.366073567000001,,,,
5725,,,0.3122,7.34251717,,,,
5726,,,0.311,7.31627114,,,,
5727,,,0.3226,7.301139267999999,,,,
5728,,,0.3209,7.267223407,,,,
5729,,,0.3111,7.252136022999999,,,,
5730,,,0.3146,7.2424835739999995,,,,
5731,,,0.3312,7.237973575,,,,
5732,,,0.3257,7.240001893,,,,
5733,,,0.3278,7.243419456,,,,
5734,,,0.3331,7.2484395589999995,,,,
5735,,,0.3179,7.239278852999999,,,,
5736,,,0.326,7.237323397000001,,,,
5737,,,0.3314,7.2273996579999995,,,,
5738,,,0.3246,7.211622267,,,,
5739,,,0.3408,7.198462642999999,,,,
5740,,,0.3448,7.184030624,,,,
5741,,,0.3253,7.160873986,,,,
5742,,,0.318,7.1442783379999995,,,,
5743,,,0.3336,7.11303087,,,,
5744,,,0.3255,7.082954231,,,,
5745,,,0.3193,7.082897937,,,,
5746,,,0.3387,7.086627878,,,,
5747,,,0.3292,7.1115412970000005,,,,
5748,,,0.3413,7.132937199,,,,
5749,,,0.33799999999999997,7.167534532,,,,
5750,,,0.3448,7.213484516,,,,
5751,,,0.3314,7.2475512470000005,,,,
5752,,,0.3365,7.294260991,,,,
5753,,,0.32899999999999996,7.317458383,,,,
5754,,,0.3327,7.351099447,,,,
5755,,,0.3327,7.35388162,,,,
5756,,,0.3401,7.34585277,,,,
5757,,,0.34299999999999997,7.344038277999999,,,,
5758,,,0.3327,7.307697611,,,,
5759,,,0.3342,7.267110167999999,,,,
5760,,,0.3511,7.2381150739999995,,,,
5761,,,0.3426,7.208776815,,,,
5762,,,0.3453,7.181084587000001,,,,
5763,,,0.3252,7.14210277,,,,
5764,,,0.3378,7.117964408,,,,
5765,,,0.3366,7.085579635,,,,
5766,,,0.3416,7.05587633,,,,
5767,,,0.344,7.057136258,,,,
5768,,,0.3382,7.060782027999999,,,,
5769,,,0.337,7.069085257999999,,,,
5770,,,0.3508,7.088552377,,,,
5771,,,0.3365,7.107204106,,,,
5772,,,0.3407,7.119195186000001,,,,
5773,,,0.3563,7.118386944,,,,
5774,,,0.3406,7.14013384,,,,
5775,,,0.3512,7.1462026839999995,,,,
5776,,,0.3301,7.149894399,,,,
5777,,,0.3279,7.167503552,,,,
5778,,,0.34600000000000003,7.190550537000001,,,,
5779,,,0.3411,7.207679271,,,,
5780,,,0.3376,7.229942423,,,,
5781,,,0.3277,7.272348922000001,,,,
5782,,,0.3279,7.287238244,,,,
5783,,,0.3366,7.321250837000001,,,,
5784,,,0.3338,7.365637481,,,,
5785,,,0.33899999999999997,7.386510443,,,,
